N,T,CNT,RS_TIME,RS_ERR,RN_TIME,RN_ERR
10,4,10,0.101816177368,0,0.0132200717926,0.4
20,5,10,0.256224155426,0,0.0303509235382,0.1
30,5,10,0.370682954788,0,0.0404641628265,0.1
40,6,10,0.503981113434,0,0.050882101059,0
50,6,10,0.569904088974,0,0.0592379570007,0
60,6,10,0.670258998871,0,0.0664300918579,0.1
70,7,10,1.19545102119,0,0.0913469791412,0
80,7,10,1.35188007355,0,0.0982539653778,0.2
90,7,10,1.41494417191,0,0.107563972473,0.1
100,7,10,1.53627681732,0,0.118082046509,0
110,7,10,1.61916995049,0,0.129022121429,0.1
120,7,10,1.71226596832,0,0.138976812363,0
130,8,10,2.21134400368,0,0.173059940338,0.3
140,8,10,2.3587179184,0,0.1804459095,0
150,8,10,3.4300570488,0,0.191306114197,0.2
160,8,10,2.84754610062,0,0.20192694664,0
170,8,10,3.07964801788,0,0.206779003143,0.2
180,8,10,3.09278297424,0,0.222154855728,0.2
190,8,10,3.21960687637,0,0.233462095261,0.1
200,8,10,3.45801520348,0,0.24463391304,0.2
210,8,10,3.34398603439,0,0.257395029068,0.3
220,8,10,3.72887682915,0,0.267338037491,0.1
230,8,10,3.6524579525,0,0.277856111526,0.1
240,8,10,3.77481198311,0,0.286441087723,0.3
250,8,10,3.979804039,0,0.297794818878,0.4
260,9,10,4.57205700874,0,0.345485925674,0.1
270,9,10,4.99392104149,0,0.359160900116,0
280,9,10,5.088285923,0,0.369023799896,0.1
290,9,10,5.01352310181,0,0.37895989418,0.2
300,9,10,5.20590281487,0,0.397510051727,0
310,9,10,5.40286612511,0,0.404748916626,0.1
320,9,10,5.75144505501,0,0.41984295845,0.1
330,9,10,5.54590296745,0,0.428130149841,0.2
340,9,10,5.89209413528,0,0.440058946609,0.2
350,9,10,10.5180339813,0,0.806561946869,0
