N,T,CNT,RS_TIME,RS_ERR,RN_TIME,RN_ERR
10,3,10,0.0583481788635,0,0.00967502593994,0.1
20,5,10,0.237399101257,0,0.0305759906769,0.1
30,8,10,0.681288957596,0,0.0724170207977,0.1
40,10,10,1.40834498405,0,0.0946049690247,0.1
50,13,10,2.6172850132,0,0.170117855072,0.2
60,15,10,3.83079504967,0,0.243438005447,0
70,18,10,7.07177805901,0,0.356215000153,0.1
80,20,10,9.93473792076,0,0.462223052979,0
90,23,10,13.7196691036,0,0.645086050034,0
100,25,10,18.4357759953,0,0.792527914047,0
110,28,10,22.8163809776,0,1.13462591171,0.1
120,30,10,30.6212968826,0,1.28770303726,0
130,33,10,38.2708148956,0,1.63087391853,0
140,35,10,42.4951541424,0,1.90334510803,0
150,38,10,52.1191959381,0,2.86112904549,0.1
160,40,10,77.2021780014,0,2.64299702644,0.1
170,43,10,88.0775740147,0,3.17893314362,0
180,45,10,97.2201890945,0,3.62873792648,0
190,48,10,120.770470142,0,4.28426504135,0
200,50,10,146.44895196,0,4.84135699272,0
210,53,10,168.065742016,0,5.62192702293,0
220,55,10,179.511193037,0,6.23723387718,0
230,58,10,206.504949093,0,6.46705698967,0.6
240,60,10,232.806947947,0,7.13539004326,0.7
250,63,10,270.392678976,0,9.08017301559,0
260,65,10,282.76010108,0,8.95225381851,0.5
270,68,10,332.288472891,0,10.1222770214,0.6
280,70,10,337.620349884,0,10.9066848755,0.7
290,73,10,384.769680023,0,12.2194218636,0.5
300,75,10,420.858888149,0,13.2415258884,0.7
310,78,10,428.602560043,0,14.7735800743,0.9
320,80,10,494.617434025,0,15.6989719868,0.8
330,83,10,516.104754925,0,17.7733650208,0.5
340,85,10,577.49357605,0,19.1259400845,0.6
350,88,10,712.389729977,0,28.5229690075,0.7
